b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,61,20964,0.00999641418457031,6.644373606,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,62,18101,0.00863122940063477,6.856218218,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,63,15629,0.00745248794555664,7.068062148,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,64,13450,0.00641345977783203,7.284681448,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,65,11617,0.00553941726684570,7.496050068,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,66,10032,0.00478363037109375,7.707678367,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,67,8603,0.00410223007202148,7.929375878,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,68,7437,0.00354623794555664,8.139494943,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,69,6360,0.00303268432617188,8.365188950,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,70,5389,0.00256967544555664,8.604198129,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,71,4537,0.00216341018676758,8.852477056,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,72,3773,0.00179910659790039,9.118503615,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,73,3106,0.00148105621337891,9.399157886,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,74,2560,0.00122070312500000,9.678071905,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,75,2114,0.00100803375244141,9.954240339,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,76,1739,0.00082921981811523,10.235957783,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,77,1420,0.00067710876464844,10.528324786,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,78,1168,0.00055694580078125,10.810175441,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,79,963,0.00045919418334961,11.088608012,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,80,798,0.00038051605224609,11.359755064,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,81,689,0.00032854080200195,11.571639827,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,82,600,0.00028610229492188,11.771181310,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,83,514,0.00024509429931641,11.994375451,fixed,3
